word,pinyin,derivation,常用
唉声叹气,āi shēng tàn qì,明·凌濛初《二刻拍案惊奇》卷三十八终日价没心没想，哀声叹气。,0
挨冻受饿,ái dòng shòu è,清·曹雪芹《红楼梦》第一百回妈妈这一辈子想来还不至挨冻受饿。,0
挨风缉缝,āi fēng jī fèng,明·冯梦龙《醒世恒言》卷七但有一二分才貌的，那一个不挨风缉缝，央媒说合。,0
挨家挨户,āi ji āi hù,老舍《四世同堂》七四自从他作了副县长，随着白巡长挨家挨户地收铜铁，他的美誉便降落了许多。,0
挨肩并足,āi jiān bìng zú,明·冯梦龙《醒世恒言·钱秀才错占凤凰俦》那山中远近人家，都晓得高家新女婿才貌双全，竟来观看，挨肩并足，如看神会故事的一般热闹。,0
挨肩擦膀,āi jiān cā bǎng,元·刘君锡《来生债》第一折你怎么偏要挨肩擦膀的，舒着手往我怀里摸甚么？,0
挨肩擦背,āi jiān cā bèi,明·冯梦龙《醒世恒言》第三十四卷常常走到厨房下，挨肩擦背，调嘴弄舌。,0
挨肩擦脸,āi jiān cā liǎn,《脂砚斋重评石头记》六五回贾珍便和三姐挨肩擦脸，百般轻薄起来。,0
挨肩搭背,āi jiān dā bèi,《官场维新记》第九回小玉凤见是警察局的大人到了，连忙抛了各客，溜进房间里来，与袁伯珍挨肩搭背的坐在一块儿。,0
挨肩迭背,āi jiān dié bèi,明·冯梦龙《醒世恒言·勘皮靴单证二郎神》当日看的是挨肩迭背。,0
挨肩叠背,āi jiān dié bèi,《醒世恒言·勘皮靴单证二郎神》当日看的真是挨户叠背。,0
挨门挨户,āi mén āi hù,李英儒《野火春风斗古城》第六章二她心生一计，挨门挨户问人家要不要水。,0
挨门逐户,āi mén zhú hù,清·钱彩《说岳全传》第六十一回写出岳元帅父子受屈情节，挨门逐户的分派；约齐日子，共上民表，要替岳爷申冤。,0
挨三顶五,āi sān dǐng wǔ,明·冯梦龙《平妖传》众人挨三顶四，簇拥将来，一个个伸出手来，求太医看脉。,0
挨山塞海,āi shān sè hǎi,明·凌濛初《初刻拍案惊奇》卷十七那日观看的人，何止挨山塞海。,0
捱风缉缝,āi fēng qī fèng,《醒世恒言·卢太学诗酒傲公侯》别个秀才要去结交知县，还要捱风缉缝，央人引进，拜在门下，认为老师。,0
捱三顶四,āi sān dǐng sì,《平妖传》第四回半仙到栅栏门首下马，也不进宅，径在堂中站着，众人捱三顶四，簇拥将来，一个个伸出手来，求太医看脉。,0
捱三顶五,āi sān dǐng wǔ,明·冯梦龙《醒世恒言·卖油郎独占花魁》覆帐之后，宾客如市，捱三顶五，不得空闲。,0
嗳声叹气,ài shēng tàn qì,无,0
矮人观场,ǎi rén guān cháng,清·王士秅《香祖笔记》卷十予观宋景文近体，无一字无来历，而对仗精确，非读万卷者不能，迥非南渡以后所及。今人耳食，誉者毁者，皆矮人观场，未之或知也。,0
矮人看场,ǎi rén kàn chǎng,《朱子语类》卷二十七正如矮人看戏一般，见前面人笑，他也笑，他虽眼不曾见，想必是好笑，便随他笑。,0
矮人看戏,ǎi rén kàn xì,清·赵翼《论诗》诗矮人看戏何曾见，都是随人说短长。,0
矮子观场,ǎi zǐ guān cháng,明·徐复祚《一文钱》第三出全心即佛，全佛即人，直是饥人见饭；心不是佛，智不是道，何殊矮子观场。,0
矮子看戏,ǎi zǐ kàn xì,《朱子语类》卷二十七正如矮人看戏一般，见前面人笑，他也笑，他虽眼不曾见，想必是好笑，便随他笑。,0
蔼然可亲,ǎi rán kě qīn,明·李开先《贺邑令贺洪滨奖异序》迄今才八阅月，绝从生之文法，除苛细之科条，虽若凛不可犯，而实蔼然可亲。,0
蔼然仁者,ǎi rán rén zhě,唐·韩愈《答李翊书》仁义之人，其言蔼如也。,0
爱别离苦,ài bié lí kǔ,《瑜伽师地论》卷六十一云何爱别离苦？当知此苦，亦由五相。宋·释道原《景德传灯录》卷二十三问‘如何是至极之谈？’曰‘爱别离苦。’,0
爱不忍释,ài bù rěn shì,南朝·梁·萧统《陶渊明集序》余爱嗜其文，不能释手。,0
爱不释手,ài bù shì shǒu,南朝·梁·萧统《陶渊明集序》余爱嗜其文，不能释手。,0
爱才如渴,ài cái rú kě,清·叶燮《原诗·外篇上》嫉恶甚严，爱才若渴，此韩愈之面目也。,0
爱才如命,ài cái rú mìng,语出清·叶燮《原诗·外篇上》嫉恶甚严，爱才若渴，此韩愈之面目也。,0
爱才若渴,ài cái ruò kě,清·叶燮《原诗·外篇上》嫉恶甚严，爱才若渴，此韩愈之面目也。,0
爱财如命,ài cái rú mìng,清·岭南羽衣女士《东欧女豪杰》第四回我想近来世界，不管什么英雄，什么豪杰，都是爱财如命，何况吃官司的，少不免要和那些狼官鼠吏交手，这更没钱不行了。,0
爱富嫌贫,ài fù xián pín,元·关汉卿《裴度还带》第二折有那等嫌贫爱富的儿曹辈，将俺这贫傲慢、把他那富追陪，那个肯恤孤念寡存仁义。,0
爱国如家,ài guó rú jiā,汉·荀悦《汉纪·惠帝纪》封建诸侯各世其位，欲使亲民如子、爱国如家。《晋书·刘聪传》臣闻古之圣王爱国如家，故皇天亦祐之如子。,0
爱鹤失众,ài hè shī zhòng,《左传·闵公二年》狄人伐魏，卫懿公好鹤，鹤有乘轩者。将战，国人受甲者皆曰‘使鹤，鹤有禄位，余焉能战？’,0
爱礼存羊,ài lǐ cún yáng,《论语·八佾》子贡欲去告朔之饩羊，子曰‘赐也，尔爱其羊，我爱其礼。’,0
爱毛反裘,ài máo fǎn qiú,汉·刘向《新序·杂事》魏文侯出游，见路人反裘而负刍，文侯曰‘胡为反裘而负刍？’对曰‘臣爱其毛。’文侯曰‘若不知其里尽而毛无所恃邪？’,0
爱民如子,ài mín rú zǐ,《礼记·中庸》子，庶民也。汉·刘向《新序·杂事一》良君将赏善而除民患，爱民如子，盖之如天，容之若地。,0
爱莫能助,ài mò néng zhù,《诗经·大雅·焌民》维仲山甫举之，爱莫助之。,0
爱莫之助,ài mò zhī zhù,《诗经·大雅·焌民》维仲山甫举之，爱莫助之。,0
爱钱如命,ài qián rú mìng,明·谢谠《四喜记·大宋毕姻》既称月老，又号冰人，爱钱如命，说谎能神，自家高媒婆是也。,0
爱人好士,ài rén hào shì,《三国志·蜀书·先主传》圣姿硕茂，神武在躬，仁覆积德，爱人好士，是以四方归心焉。,0
爱人利物,ài rén lì wù,《庄子·天地》爱人利物之谓仁。,0
爱人以德,ài rén yǐ dé,《礼记·檀弓上》君子之爱人也以德，细人之爱人也以姑息。,0
爱日惜力,ài rì xī lì,《三国志·吴志·孙和传》且志土爱日惜力 ，君子慕其大道，高山景行，耻非其次。《周书·萧圆萧传》朗读百边，乙夜难寐，爱日惜力，寸阴无弃。,0
爱如己出,ài rú jǐ chū,明·周辑《西湖二集·假邻女诞生真子》果然方氏爱如己出，抚养成人长大。,0
爱如珍宝,ài rú zhēn bǎo,明·天然痴叟《石点头·侯官县烈女歼仇》申屠娘子，已是身怀六甲，到得十月满足……生个儿子，爱如珍宝。,0
爱生恶死,ài shēng wù sǐ,清·李汝珍《镜花缘》第二十六回可见爱生恶死，亦是物之恒情。,0
爱素好古,ài sù hào gǔ,《老子》见素抱朴，少私寡欲。《论语·述而》子曰述而不作，信而好古，窃比于我老彭。,0
爱屋及乌,ài wū jí wū,《尚书大传·大战》爱人者，兼其屋上之乌。,0
爱惜羽毛,ài xī yǔ máo,汉·刘向《说苑·杂言》夫君子爱口，孔雀爱羽，虎豹爱爪，此皆所以治身法也。,0
爱憎分明,ài zēng fēn míng,陈若曦《耿尔在北京》他很困惑，也很痛苦，想不到爱憎分明、坚强独立的小睛会怕人‘闲话’。,0
碍口识羞,ài kǒu shí xiū,明·凌濛初《初刻拍案惊奇·转运汉巧遇洞庭红》文若虚终是碍口识羞，待说又止。,0
碍难从命,ài nán cóng mìng,《三打祝家庄》第一幕第一场你回去复李大官人，本当将时迁放回，怎奈他是梁山贼党，碍难从命。,0
碍手碍脚,ài shǒu ài jiǎo,明·凌濛初《初刻拍案惊奇》第三十二卷后边有些嫌忌起来，碍手碍脚，到底不妙。,0
碍足碍手,ài zú ài shǒu,无,0
暧昧不明,ài mèi bù míng,清·文康《儿女英雄传》第八回又把你姑娘一片侠肠，埋没得暧昧不明，我安龙媒真真的愧悔无地！,0
暧昧之情,ài mèi zhī qíng,明·冯梦龙《警世通言·三现身包龙图断冤》做知县时，便能剖人间暧昧之情，断天下狐疑之狱。,0
安安稳稳,ān ān wěn wěn,元·无名氏《抱妆盒》第四折小储君倒也安安稳稳守着妆盒做护身符，则是我陈琳兢兢战战抱着个天大闷葫芦。,0
安邦定国,ān bāng dìng guó,宋·无名氏《新编五代史平话·周史》卷上我这剑要卖与烈士，大则安邦定国，小则御侮捍身，您孩儿每识个什么？,0
安邦治国,ān bāng zhì guó,宋·无名氏《新编五代史平话·周史》卷上我这剑要卖与烈士，大则安邦定国，小则御侮捍身，您孩儿每识个什么？,0
安不忘危,ān bù wàng wēi,《周易·系辞下》是故君子安而不忘危，存而不忘亡，治而不忘礼，是以身安而国家可保也。,0
安步当车,ān bù dàng chē,《战国策·齐策四》晚食以当肉，安步以当车，无罪以当贵，清静贞正以自虞。,1
安常处顺,ān cháng chǔ shùn,《庄子·养生主》安时而处顺，哀乐不能入也。,0
安常履顺,ān cháng lǚ shùn,清·方苞《方任二贞妇传》凡士之安常履顺而自检其身，与所以施于家者，其事未若二妇人之艰难也，而乃苟于自恕，非所谓失其本心者与？。,0
安常守分,ān cháng shǒu fèn,宋·朱熹《朱子语类》卷二十四如有一般人，只安常守分，不恁求利，然有时意思亦是求利，察其所安，又看他心所安稳处，一节深一节。,0
安常守故,ān cháng shǒu gù,明·海瑞《申军门吴尧便宜五事文》本院非安常守故人也。至任以来，千万人以鼓舞作兴，翻然改革望之矣。,0
安常习故,ān cháng xí gù,宋·刘挈《论人才》有安常习故乐于无事之论，有变古更法喜于敢为之论。,0
安车蒲轮,ān chē pú lún,《汉书·武帝纪》遣使者安车蒲轮，束帛加壁，征鲁申公。,0
安堵乐业,ān dǔ lè yè,三国·魏·钟会《檄蜀文》百姓士民，安堵乐业。农不易亩，市不回肆。,0
安堵如故,ān dǔ rú gù,《史记·高祖本纪》诸吏人皆案堵如故。汉·荀悦《汉纪·高祖纪》吏人皆安堵如故，民争献牛洒。,0
安分守己,ān fèn shǒu jǐ,宋·袁文《翁牖闲评》八彼安分守己，恬于进取者，方且以道义自居，其肯如此侥幸乎？,0
安分守已,ān fěn shǒu jǐ,《红楼梦》第七十二回从此养好了，可要安分守己，再别胡行乱闹了。,0
安分知足,ān fèn zhī zú,宋·洪迈《容斋随笔·三笔·人当知足》其安分知足之意终身不渝。,0
安份守己,ān fèn shǒu jǐ,李劼人《天魔舞》第十七章所以我们对于空子，应该广劝他们安份守己的好。?,0
安富恤贫,ān fù xù pín,《周礼·地官·大司徒》以保息六养万民一曰慈幼，二曰养老，三曰振穷，四曰恤贫，五曰宽疾，六曰安富。,0
安富恤穷,ān fù xù qióng,《周礼·地官·大司徒》以保息六养万民一曰慈幼，二曰养老，三曰振穷，四曰恤贫，五曰宽疾，六曰安富。,0
安富尊荣,ān fù zūn róng,《孟子·尽心上》君子居是国也，其君用之，则安富尊荣。,0
安故重迁,ān gù zhòng qiān,汉刘向《说苑·修文》触情从欲，谓之禽兽；苟可而行，谓之野人；安故重迁，谓之众庶；辨然否，通古今之道，谓之土。,0
安国富民,ān guó fù mín,《汉书·汲黯传》公为正卿上不能褒先帝之功业，下不能化天下之邪心，安国富民，使囹圄空虚。,0
安国宁家,ān guó níng jiā,南朝·宋·刘义庆《世说新语·方正》大丈夫将终，不问安国宁家之术，乃作儿女子相问。,0
安魂定魄,ān hún dìng pò,明·汤显祖《牡丹亭》第三十四出不寻常，安魂定魄赛过反精香。,0
安家乐业,ān jiā lè yè,《汉书·谷永传》薄收赋税，毋殚民财，使天下黎元咸安家乐业。,0
安家立业,ān jiā lì yè,染斌《红旗谱》第一卷你们父子帮助我安家立业，我一辈子也忘不了。,0
安家落户,ān jiā luò hù,郭沫若《郑成功》第四章台湾每年可收二三季，我们去只要辛苦得几个月，就可以安家落户了。,0
安居乐业,ān jū lè yè,《老子》第八十章民各甘其食，美其服，安其俗，乐其业，至老死不相往来。《汉书·货殖列传》各安其居而乐其业，甘其食而美其服。,0
安老怀少,ān lǎo huái shào,《论语·公冶长》子路曰‘原闻子之志。’子曰‘老者安之，朋友信之，少者怀之。’,0
安良除暴,ān liáng chú bào,宋·李昿《太平广记》舍之职责，在乎除暴安良。,0
安眉带眼,ān méi dài yǎn,明·施耐庵《水浒全传》第二十八回你也是安眉带眼的人，直须要我开口说。,0
安民告示,ān mín gào shì,清·金念劬《避兵十日记》嘱两县速出安民告示，谕令店铺照常开张。,0
安内攘外,ān nèi rǎng wài,汉·张仲景《伤寒论·太阳病上》甘草甘平，有安内攘外之能。,0
安贫乐道,ān pín lè dào,《后汉书·杨彪传》安贫乐道，恬于进趣，三辅诸儒莫不慕仰之。,0
安贫乐贱,ān pín lè jiàn,《后汉书·蔡邕传》夫子生清穆之世，禀醇和之灵，覃思典籍，韫椟《六经》，安贫乐贱，与世无营。,0
安贫守道,ān pín shǒu dào,宋·苏轼《荐布衣陈师道状》臣等伏见徐州布衣陈师道文词高古，度越流辈，安贫守道。,0
安然如故,ān rán rú gù,元·纪君祥《赵氏孤儿》第四折你只看这一个，那一个，都是为谁而卒？岂可我做儿的倒安然如故？,0
安然无事,ān rán wú shì,清·夏敬渠《野叟曝言》第三十二回四嫂不来聒噪，耳根清净，倒也安然无事，除非把你两家合成一家，我一个人就好照顾了。,0
安然无恙,ān rán wú yàng,《战国策·齐策》岁亦无恙耶？民亦无恙耶？王亦无恙耶？。,0
安忍无亲,ān rěn wú qīn,《左传·隐公四年》夫州吁阻兵而安忍。阻兵无众，安忍无亲。众叛亲离，难以济矣。,0
安如盘石,ān rú pán shí,荀况《荀子·富国》为名者否，为利者否，为忿者否，则国安于盘石，寿于旗翼。,0
安如磐石,ān rú pán shí,《荀子·富国》为名者否，为利者否，为忿者否，则国安于磐石，寿于旗翼。,0
安如太山,ān rú tài shān,汉·焦赣《易林·坤之中孚》安如太山，福禧屡臻。虽有豺虎，不致危身。,0
安如泰山,ān rú tài shān,汉·枚乘《上书谏吴王》变所欲为，易于反掌，安于泰山。,0
安若泰山,ān ruò tài shān,《南史·梁纪下论》自谓安若泰山，算无遗策。,0
安身乐业,ān shēn lè yè,《红楼梦》第六五回倘或一日他知道了，岂肯干休？势必有一场大闹。你二人不知谁生谁死，这如何便当作安身乐业的去处？,0
安身立命,ān shēn lì mìng,宋·释道原《景德传灯录》卷十僧问‘学人不据地时如何？’师云‘汝向什么处安身立命？’,0
安身为乐,ān shēn wéi lè,《三国志·蜀书·秦宓传》安身为乐，无忧为福。,0
安身之处,ān shēn zhī chù,明·罗贯中《三国演义》第四十回近闻刘景升病在危笃，可乘此机会，取得荆州为安身之地。,0
安身之地,ān shēn zhī dì,明·罗贯中《三国演义》第四十回近闻刘景升病在危笃，可乘此机会，取得荆州为安身之地。,0
安神定魄,ān shén dìng pò,明·吴承恩《西游记》第十一回自服了安神定魄之剂，……一夜稳睡。,0
安生服业,ān shēng fú yè,梁斌《红旗谱》六她想到冯老兰，不一定肯让朱老忠安生服业地活下去，她的心情更加忧怀念不安，害怕有另一种更大的祸事降临家门。又三十回败家子儿不讲安生服业地做活，只讲吃好的、穿好的、歇着。,0
安生乐业,ān shēng lè yè,《汉书·严助传》使元元之民安生乐业，则泽被万世，传之子孙，使之无穷。,0
安时处顺,ān shí chǔ shùn,《庄子·养生主》安时而处顺，哀乐不能入也。,0
安室利处,ān shì lì chù,《庄子·徐无鬼》奎蹄曲隈，乳间股脚，自以为安室利处。,0
安适如常,ān shì rú cháng,叶圣陶《线下集·孤独》待交了春，天气渐见和暖，就安适如常了。,0
安土乐业,ān tǔ lè yè,汉扬雄《连珠》吏不苟暴，役赋不重，财力不伤，安土乐业，民之乐也。,0
安土重旧,ān tǔ zhòng jiù,《后汉书·南蛮传》[蛮夷]外痴内黠，安土重旧。,0
安土重居,ān tǔ zhòng jū,《后汉书·杨终传》传曰‘安土重居，谓之众庶。’,0
安土重迁,ān tǔ zhòng qiān,《汉书·元帝纪》安土重迁，黎民之性；骨肉相附，人情所愿也。,0
安危相易,ān wēi xiāng yì,《庄子·则阳》安危相易，祸福相生，缓解相摩，聚散以成。此名实之可纪，精微之可志也。,0
安危与共,ān wēi yǔ gòng,三国·魏·曹植《求自试表》而臣敢陈闻于陛下者，诚与国分形同气，忧患共之者也。,0
安闲自得,ān xián zì dé,明·冯梦龙《醒世恒言·蔡瑞虹忍辱报仇》不如在家安闲自在，快活过了日子，却去讨这样烦恼吃！,0
安闲自在,ān xián zì zài,明·李贽《焚书·预约·早晚礼仪》有问乃答，不问即默，安闲自在，从容应付，不敢慢之，不可敬之。,0
安心定志,ān xīn dìng zhì,明·吴承恩《西游记》第四回又差五斗星君送悟空去到任，外赐御酒一瓶，金花十朵，着他安心定志，再勿胡为。,0
安心乐业,ān xīn lè yè,《红楼梦》第六八回那二姐得了这个所在，以见园里姐妹个个相好，倒也安心乐业的，自为得所。,0
安心乐意,ān xīn lè yì,清·曹雪芹《红楼梦》第一百十四回我看二嫂子如今倒是安心乐意的孝敬我妈妈，比亲媳妇还强十倍呢。,0
安心落意,ān xīn luò yì,无,0
安营下寨,ān yíng xià zhài,元·无名氏《千里独行》杂剧楔子今领十万雄兵，来到这里，离徐州不远，清风岭安营下寨。,0
安营扎寨,ān yíng zhā zhài,元·无名氏《两军师隔江斗智》第二折这周瑜匹夫，累累兴兵来索瘸荆州地面，如今在柴桑渡口安营扎寨，其意非小。,0
安于盘石,ān yú pán shí,《荀子·富国》为名者否，为利者否，为忿者否。则国安于盘石，寿于旗翼。杨倞注磐石，盘薄，大石也。,0
安于现状,ān yú xiàn zhuàng,刘少奇《论党》另有些同志在工作中疲蹋，老一套，安于现状。,0
安于一隅,ān yù yī yù,宋·陈亮《上孝宗皇帝第二书》臣恭惟皇帝陛下厉志复仇，不肯即安于一隅，是有功于社稷也。,0
安宅正路,ān zhái zhèng lù,《孟子·离娄上》仁，人之安宅也；义，人之正路也。旷安宅而弗居，舍正路而不由，哀哉！,0
安枕而卧,ān zhěn ér wò,《史记·黥英列传》使布出于上计，山东非汉之有也；出于中计，胜败之数未可知也；出于下计，陛下安枕而卧矣。,0
安之若命,ān zhī ruò mìng,《庄子·人间世》知其不可奈何而安之若命，德之至也。,0
安之若素,ān zhī ruò sù,清·范寅《越谚·附论·论堕贫》贪逸欲而逃勤苦，丧廉耻而习谄谀，甘居人下，安之若素。,0
安坐待毙,ān zuò dài bì,明·李贽《焚书·复邓鼎石》惟是世人无才无术，或有才术矣，又恐利害及身，百般趋避，故亦遂因循不理，安坐待毙。,0
鞍马劳顿,ān mǎ láo dùn,元·杨显之《潇湘雨》第四折兴儿，我一路上鞍马劳顿，我权且歇息。,0
鞍马劳倦,ān mǎ láo juàn,明·施耐庵《水浒传》第二回实不相瞒太公说老母鞍马劳倦，昨夜心痛病发。,0
鞍马劳困,ān mǎ láo kùn,元·关汉卿《窦娥冤》第四折不觉的一阵昏沉上来，皆因老夫年纪高大，鞍马劳困之故。,0
鞍马劳神,ān mǎ láo shén,无,0
鞍马之劳,ān mǎ zhī láo,明·许仲琳《封神演义》第二十二回耳不闻兵戈之声，眼不见伐之事，身不受鞍马之劳，心不悬胜败之扰。,0
鞍前马后,ān qián mǎ hòu,王树元《杜鹃山》第五嘲前马后跟你跑，出生入死为你干。,0
岸谷之变,àn gǔ zhī bìan,《诗·小雅·十月之交》高岸为谷，深谷为陵。毛传言易位也。郑玄笺易位者，君子居下小人处上之谓也。,0
岸然道貌,àn rán dào mào,清·蒲松龄《聊斋志异·成仙》又八九年，成忽自至，黄巾氅服，岸然道貌。,0
按兵不动,àn bīng bù dòng,《荀子·王制》偃然按兵不动。《吕氏春秋·恃君览》赵简子按兵而不动。,0
按兵不举,àn bīng bù jǔ,元·无名氏《开诏救忠》第三折你将那忠臣良将故赃谋，想着你按兵不举心更毒。明·无名氏《精忠记·挂冠》岳家父子三人尽忠报国杀金人望风而走，岂有按兵不举之理？,0
按兵束甲,àn bīng shù jiǎ,《赤壁之战》何不按兵束甲，北面而事之！,0
按步就班,àn bù jiù bān,语出晋·陆机《文赋》观古今于须臾，抚四海于一瞬。然后选义案部，考辞就班。,0
按部就班,àn bù jiù bān,晋·陆机《文赋》然后选义案部，考辞就班。,0
按堵如故,àn dǔ rú gù,《汉书·高帝纪上》与父老约法三章耳杀人者死，伤人及盗抵罪。余悉除去秦法。吏民皆按堵如故。颜师古注应劭曰‘按，按次第。堵，墙堵也。’言不迁动也。,0
按甲寝兵,àn jiǎ qǐn bīng,晋·司马彪《九州春秋·傅干》愚以为且按甲寝兵，息养军士，定土分封，论功行赏。,0
按甲休兵,àn jiǎ xiū bīng,《汉书·韩信传》当今之计，不如按甲休兵，百里之内，牛洒日至，以飨士大夫，北首燕路，然而发一乘之使，奉咫尺之书以使燕，燕必不敢不听。,0
按名责实,àn míng zé shí,唐·陆贽《请许台省长官举荐属吏状》夫求才贵广，孝课贵精。求广在于各举所知，长吏之荐择是也；孝精在于按名责实，宰臣之序进是也。,0
按捺不住,àn nà bù zhù,明·冯梦龙《警世通言·白娘子水镇雷峰塔》不想遇着许宣……按捺不住，一时冒范天条。,0
按辔徐行,àn pèi xú xíng,《史记·绛侯周勃世家》壁门士吏谓从属车骑曰‘将军约，军中不得驱驰。’于是天子乃按辔徐行。,0
按图索骥,àn tú suǒ jì,《汉书·梅福传》今不循伯者之道，乃欲以三代选举之法取当时之士，犹察伯乐之图求骐骥于市，而不可得，变已明矣。,1
按图索骏,àn tú suǒ jùn,语出《汉书·梅福传》今不循伯者之道，乃欲以三代选举之法取当时之士，犹察伯乐之图求骐骥于市，而不可得，变已明矣。,0
按行自抑,àn xíng zì yì,唐·柳宗元《梦赋》忽崩赛上下兮，聊按行以自抑。,0
案兵束甲,àn bīng shù jiǎ,《三国志·蜀志·诸葛亮传》若不能当，何不案兵束甲，北面而事之！,0
