成语,拼音,出处,解释,常用
朝朝暮暮,zhāo zhāo mù mù,战国·楚·宋玉《高唐赋》妾在巫山之阳，高丘之阻，旦为朝云，暮为行雨。朝朝暮暮，阳台之下。,每天的早晚。比喻日日夜夜。,2
朝思暮想,zhāo sī mù xiǎng,明·冯梦龙《警世恒言》卷二十四再说沈洪自从中秋夜见了玉姐，到如今朝思暮想，废寝忘餐。,从早到晚都在想念。形容思念之深。,2
车水马龙,chē shuǐ mǎ lóng,《后汉书·明德马皇后纪》前过濯龙门上，见外家问起居者，车如流水，马如游龙。,车马很多、热闹繁华的景象。,2
晨光熹微,chén guāng xī wēi,晋·陶潜《归去来辞》问征夫以前路，恨晨光之熹微。,早晨微弱的光线。,2
程门立雪,chéng mén lì xuě,《宋史·杨时传》见程颐于洛，时盖年四十矣。一日见颐，颐偶瞑坐，时与游酢侍立不云。颐既觉，则门外雪深一尺矣。,形容尊师重道、诚恳求教。,2
痴心妄想,chī xīn wàng xiǎng,明·罗贯中《平妖传》第五回谁知那道也自痴心妄想，魂颠梦倒，分明是癞蛤蟆想着天鹅肉吃。,形容不切实际的幻想。,2
赤诚相待,chì chéng xiāng dài,姚雪垠《李自成》第一卷第二十三章这所剩的数千饥饿疲惫之师因感学生一片忠君爱国之心和平日赤诚相待，暂时不忍离去，勉强可以一战。,用极真诚的态度对待别人。,2
愁眉苦脸,chóu méi kǔ liǎn,元·王实甫《西厢记》第三本第二折对人前巧语花言，背地里愁眉泪脸。,形容忧愁、苦恼的样子。,2
出口成章,chū kǒu chéng zhāng,《诗经·小雅·都人士》彼都人士，狐裘黄黄，其容不改，出言成章。,话说出来就是一篇文章。形容文思敏捷、口才极好。,2
楚楚可怜,chǔ chǔ kě lián,南朝·宋·刘义庆《世说新语·言语》松树子非不楚楚可怜，但永无栋梁之用耳。,形容姿态娇柔、令人怜爱。,2
川流不息,chuān liú bù xī,南朝·梁·周兴嗣《千字文》川流不息，渊澄取映。,像河水那样流个不停。比喻人或事物连续不断。,2
垂头丧气,chuí tóu sàng qì,唐·韩愈《送穷文》主人于是垂头丧气，上手称谢。,形容情绪低落、萎靡不振的样子。,2
春风化雨,chūn fēng huà yǔ,《孟子·尽心上》有如时春风雨化之者。,比喻良好的教育。也形容适合草木生长的及时雨。,2
春寒料峭,chūn hán liào qiào,宋·释普济《五灯会元》卷十九春寒料峭，冻杀年少。,形容早春微寒的天气。,2
春华秋实,chūn huá qiū shí,《三国志·魏志·刑飆传》而桢礼遇殊荣，飆反疏简，私惧观者将谓君侯习近不肖，礼贤不足，采庶子之春华，忘家丞之秋实。《后汉书》卷五十二春发其华，秋收其实，有始有极，爱登其质。,春天开花，秋天结果。比喻文采和德行，也比喻事物的因果关系。,2
春暖花开,chūn nuǎn huā kāi,明·朱国祯《涌幢小品·南内》春暖花开，命中贵陪内阁儒臣宴赏。,春天气候温暖，百花盛开。形容春天美好的景色。,2
春意盎然,chūn yì àng rán,无,春天生机勃勃的景象。,2
绰绰有余,chuò chuò yǒu yú,《诗经·小雅·角弓》此令兄弟，绰绰有裕。,形容很宽裕，用不完。,2
大材小用,dà cái xiǎo yòng,晋·石崇《许巢论》盖闻圣人在位，则群材必举，官才任能，轻重允宜，大任已备，则不抑大材使居小位；小材已极其分，则不以积久而合处过材之位。,大的材料用在小地方。比喻人才使用不当，屈才。,2
大义凛然,dà yì lǐn rán,宋·曹辅《唐颜文忠公新庙记》大义凛然，奋裙首倡。,形容坚持正义、不可侵犯的样子。,2
大雨如注,dà yǔ rú zhù,明·冯梦龙《警世通言·俞伯牙摔琴谢知音》偶然风狂浪涌，大雨如注，舟楫不能前进，泊于山崖之下。,雨大得像往下灌一样。,2
大智大勇,dà zhì dà yǒng,无,形容智慧超群，勇敢非凡。,2
呆若木鸡,dāi ruò mù jī,《庄子·达生》几矣。鸡虽有鸣者，已无变矣，望之似木鸡矣，其德全矣；异鸡无敢应者，反走矣。,形容因恐惧或惊讶而发愣的样子。,2
胆小如鼠,dǎn xiǎo rú shǔ,《魏书·汝阴王天赐传》言同百舌，胆若鼷鼠。,形容胆子非常小。,2
道听途说,dào tīng tú shuō,《论语·阳货》道听而途说，德之弃也。《汉书·艺文志》小说家者流，盖出于稗官，街谈巷语，道听途说者之所造也。,路上听到的传说。形容没有根据的传闻。,2
滴水穿石,dī shuǐ chuān shí,宋·罗大经《鹤林玉露》绳锯木断，水滴石穿。,水一直往下滴，能把石头滴穿。比喻只要持之以恒，定能成功。,2
喋喋不休,dié dié bù xiū,《汉书·张释之传》夫绛侯、东阳侯称为长者，此两人言事曾不能出口，岂效此啬夫喋喋利口捷给哉！,形容说话没完没了。,2
斗志昂扬,dòu zhì áng yáng,毛泽东《介绍一个合作社》从来也没有看见人民群众象现在这样精神振奋，斗志昂扬，意气风发。,斗争的意志很高昂。,2
咄咄逼人,duō duō bī rén,晋·卫铄《与释某书》卫有一弟子王逸少，甚能学卫真书，咄咄逼人。,形容气势汹汹、盛气凌人。,2
恩重如山,ēn zhòng rú shān,宋·陆游《删定官供职谢启》拔茅以征，冒处清流之末；及瓜雨往，曾无累月之淹。恩重如山，感深至骨。,恩情像山一样重。形容恩情深厚。,2
发奋图强,fā fèn tú qiáng,《人民日报》1959.9.3发奋图强、自力更生，对于落后队贫困落后的面貌的改变，当然起着极其重要的作用。,下定决心，努力谋求强盛。,2
翻山越岭,fān shān yuè lǐng,姚雪垠《李自成》第一卷第六章他的腿脚好，只要肚子里填饱了瓤子，翻山越岭，跟年轻人一样。,翻越重重山岭。形容旅途艰辛。,2
繁花似锦,fán huā sì jǐn,曹靖华《点苍山下金花娇》中饭后，我们坐在……繁花似锦的花丛中，听她谈起沙村公社来。,许多色彩纷繁的鲜花，像织成的锦缎一样。,2
防不胜防,fáng bù shèng fáng,清·吴趼人《二十年目睹之怪现状》第四十七回这种小人，真是防不胜防。,防备不过来。,2
飞蛾扑火,fēi é pū huǒ,《梁书·到溉传》如飞蛾之赴火，岂焚身之可吝。,飞蛾扑向火焰。比喻自取灭亡。,2
沸沸扬扬,fèi fèi yáng yáng,《山海经·西山经》其中多白玉，是有玉膏，其原沸沸汤汤。,形容人声喧闹、议论纷纷。,2
粉妆玉砌,fěn zhuāng yù qì,无,用白粉装饰，用玉砌成。形容雪景的美丽。,2
风驰电掣,fēng chí diàn chè,《六韬·龙韬·王翼》奋威四人，主择材力，论兵革，风驰电掣，不知所由。,像风一样快，像闪电一样急。形容速度极快。,2
风度翩翩,fēng dù piān piān,《史记·平原君列传》平原君，翩翩浊世之佳公子也。《新唐书·张九龄传》风度能若张九龄乎？,形容举止洒脱、姿态优美。,2
风风火火,fēng fēng huǒ huǒ,王吉呈《女御史》妈千叮咛万叮咛，务必要平稳，切不可像在娘家门上那样风风火火，得罪了人，日后过门咋做媳妇呢？,形容急急忙忙、冒冒失失的样子。,2
风风雨雨,fēng fēng yǔ yǔ,元·张可久《晋天乐·忆鉴湖》风风雨雨清明，莺莺燕燕关情。,刮风下雨。比喻各种艰难困苦。,2
风清月朗,fēng qīng yuè lǎng,唐·段成式《酉阳杂俎·支诺皋下》时春季夜间，风清月朗。,微风清凉，月光明亮。形容夜景优美。,2
风雨同舟,fēng yǔ tóng zhōu,《孙子·九地》夫吴人与越人相恶也，当其同舟共济，遇风，其相救也如左右手。,在风雨中同乘一条船。比喻共同经历患难。,2
浮想联翩,fú xiǎng lián piān,无,许多想象连续不断地涌上心头。,2
富丽堂皇,fù lì táng huáng,清·文康《儿女英雄传》第三十四回连忙灯下一看，只见当朝圣人出的是三个富丽堂皇的题目。,形容建筑物华丽雄伟或场面盛大。,2
肝胆相照,gān dǎn xiāng zhào,《史记·淮阴侯列传》臣愿披腹心，输肝胆，效愚计，恐足下不能用也。宋·赵令畸《侯鲭录》同心相亲，照心照胆寿千春。,比喻以真诚的心互相交往。,2
高朋满座,gāo péng mǎn zuò,唐·王勃《滕王阁序》千里逢迎，高朋满座。,高贵的朋友坐满了席位。形容宾客很多。,2
高山流水,gāo shān liú shuǐ,《列子·汤问》伯牙鼓琴，志在登高山，钟子期曰'善哉，峨峨兮若泰山。'志在流水，曰'善哉，洋洋兮若江河。',比喻知己或知音。也形容乐曲高妙。,2
高耸入云,gāo sǒng rù yún,刘伯承《回忆长征》翻越了高耸入云的雪山，跋涉了渺无人烟的草原。,高得直插入云端。形容建筑物或山峰很高。,2
狗急跳墙,gǒu jí tiào qiáng,《敦煌变文集·燕子赋》人急烧香，狗急蓦墙。,狗被逼急了也会跳墙。比喻走投无路时采取冒险行动。,2
光明磊落,guāng míng lěi luò,《晋书·右勒载记下》大丈夫行事，当礌（磊）落落，如日月皎然。宋·朱熹《朱子语类》卷七十四譬如人光明磊落底便是好人，昏昧迷暗底便不是好人。,形容胸怀坦白、正大光明。,2
寒冬腊月,hán dōng là yuè,汉·无名氏《别诗（骨肉缘枝叶）》征夫怀远路，游子恋故乡'冬十二月，晨起践严霜。,指冬季最寒冷的时候。,2
皓月千里,hào yuè qiān lǐ,宋·范仲淹《岳阳楼记》长烟一空，皓月千里，浮光耀金，静影沉璧。,明亮的月光照耀千里大地。,2
鹤发童颜,hè fà tóng yán,唐·田颖《梦游罗浮》自言非神亦非仙，鹤发童颜古无比。,头发像仙鹤一样白，面色像儿童一样红润。形容老人气色好。,2
鹤立鸡群,hè lì jī qún,晋·戴逵《竹林七贤论》嵇绍入洛，或谓王戎曰'昨于稠人中始见嵇绍，昂昂然若野鹤之在鸡群。'南朝·宋·刘义庆《世说新语·容止》嵇延祖卓卓如野鹤之在鸡群。,比喻一个人的仪表或才能在一群人中显得很突出。,2
胡思乱想,hú sī luàn xiǎng,《朱子全书·学》宜于日用之间，稍立课程，不要如此胡思乱量，过却子也。,不切实际地瞎想。,2
湖光山色,hú guāng shān sè,宋·吴自牧《梦梁录·五代人物》杭城湖光山色之秀，锺为人物，所以清奇特，为天下寇。,形容山水相依、景色优美。,2
虎背熊腰,hǔ bèi xióng yāo,元·无名氏《飞刀对箭》这厮倒是一条好汉，狗背驴腰的，哦，是虎背熊腰。,形容人的身材高大健壮。,2
花团锦簇,huā tuán jǐn cù,宋·释道原《景德传灯录》卷十七自余是什么亲拟，将有限身心向无限中用，……。若无恁么事，饶你攒花簇锦，亦无用处。,形容色彩鲜艳、十分华丽的景象。,2
画龙点睛,huà lóng diǎn jīng,唐·张彦远《历代名画记·张僧繇》金陵安乐寺四白龙不点眼睛，每云'点睛即飞去。'人以为妄诞，固请点之。须臾，雷电破壁，两龙乘云腾去上天，二龙未点眼者见在。,比喻在关键处点明要旨，使内容更加生动有力。,2
火烧眉毛,huǒ shāo méi máo,宋·释普济《五灯会元》卷十六问'如何是急切一句？'诗曰'火烧眉毛。',比喻非常紧迫。,2
鸡鸣狗盗,jī míng gǒu dào,《史记·孟尝君列传》载齐孟尝君出使秦被昭王扣留，孟一食客装狗钻入秦营偷出狐白裘献给昭王妾以说情放孟。孟逃至函谷关时昭王又令追捕。另一食客装鸡叫引众鸡齐鸣骗开城门，孟得以逃回齐。,比喻微不足道的技能。也指偷偷摸摸的行为。,2
鸡犬不宁,jī quǎn bù níng,唐·柳宗元《捕蛇者说》哗然而骇者，虽鸡狗不得宁焉。,形容骚扰得十分厉害，连鸡狗都不得安宁。,2
急中生智,jí zhōng shēng zhì,唐·白居易《和微之诗二十三首序》今足下果用所长，过蒙见窘，然敌则气作，急则生智。,在紧急时刻突然想出办法。,2
集思广益,jí sī guǎng yì,三国·蜀·诸葛亮《教与军师长史参军掾属》夫参署者，集众思，广忠益也。,集中众人的智慧，广泛吸取有益的意见。,2
济济一堂,jǐ jǐ yī táng,《尚书·大禹谟》济济有众，咸听朕命。,形容许多人聚集在一起。,2
津津乐道,jīn jīn lè dào,清·颐琐《黄绣球》第七回这位莱恩女杰，他才学固然卓越，但他也只从口讲指画入手，每遇乡愚，津津乐道。,形容对某事兴趣浓厚，乐意谈论。,2
津津有味,jīn jīn yǒu wèi,汉·王褒《洞箫赋》哀悁悁之可怀兮，良醰醰而有味。,形容很有滋味或很有兴趣。,2
锦上添花,jǐn shàng tiān huā,宋·王安石《即事》诗嘉招欲覆杯中渌，丙方唱仍添锦上花。宋·黄庭坚《了了庵颂》又要涪翁作颂，且图锦上添花。,在美丽的织锦上再绣上花。比喻使美好的事物更加美好。,2
锦绣河山,jǐn xiù hé shān,唐·杜甫《清明二首（其二）》秦城楼阁烟花里，汉主山河锦绣中。,形容美好的祖国山河。,2
惊心动魄,jīng xīng dòng pò,南朝·梁·钟嵘《诗品》卷上文温以丽，意悲而远，惊心动魄，可谓几乎一字千金。,形容使人感受很深，震动很大。,2
兢兢业业,jīng jīng yè yè,《诗经·大雅·云汉》兢兢业业，如霆如雷。,形容小心谨慎、认真负责。,2
井井有条,jǐng jǐng yǒu tiáo,《荀子·儒效》井井兮其有理也。,形容条理分明，整齐有序。,2
举不胜举,jǔ bù shèng jǔ,鲁迅《伪自由书·后记》引谷春帆《谈文人先行》公开告密，卖友求荣，卖身投靠的勾当，举不胜举。,列举也列举不完。形容数量很多。,2
开卷有益,kāi juàn yǒu yì,晋·陶潜《与子俨等疏》开卷有得，便欣然忘食。,打开书本阅读，总有好处。,2
开天辟地,kāi tiān pì dì,三国·吴·徐整《三五历纪》天地混沌如鸡子，盘古生在其中，万八千岁，天地开辟，阳清为天，阴浊为地，盘古在其中。,比喻空前的伟大事业。,2
刻不容缓,kè bù róng huǎn,宋·周密《齐东野语》帝王即位，即是好日，兼官历又吉，何疑？事不容缓。,片刻也不能拖延。形容形势紧迫。,2
空空如也,kōng kōng rú yě,《论语·子罕》有鄙夫问于我，空空如也，我叩其两端而竭焉。,形容空空的，什么也没有。,2
口口声声,kǒu kǒu shēng shēng,元·石君宝《秋胡戏妻》第三折你也曾听杜宇，他那里口口声声，撺掇先生不如归去。,形容反复地说。,2
口若悬河,kǒu ruò xuán hé,南朝·宋·刘义庆《世说新语·赏誉》郭子玄语议如悬河泻水，注而不竭。唐·韩愈《石鼓歌》安能以此上论列，愿借辩口如悬河。,说话像流水一样源源不断。形容口才极好。,2
苦思冥想,kǔ sī míng xiǎng,巴金《创作回忆录·关于二》我拿起笔从来不苦思冥想，我照例写得快，说我'粗制滥造'也可以，反正有作品在。,深沉地思考。,2
宽宏大度,kuān hóng dà dù,元·戴善夫《风光好》第三折学士宽宏大度，何所不容。,形容心胸开阔，度量很大。,2
狼吞虎咽,láng tūn hǔ yàn,明·凌濛初《初刻拍案惊奇·刘东山夸技顺城门》十人自来吃酒……须臾之间，狼飧虎咽，算来吃够有六七十斤肉。,形容吃东西又急又猛。,2
雷厉风行,léi lì fēng xíng,唐·韩愈《潮州刺史谢上表》陛下即位以来，躬亲听断，旋乾转坤；关机阖开，雷厉风行。,像雷一样猛烈，像风一样迅速。形容执行有力、行动迅速。,2
料事如神,liào shì rú shén,宋·杨万里《提刑徽猷检正王公墓志铭》公器识宏深，襟度宽博，议论施加人数等，料事如神，物无遁情。,预料事情像神仙一样准确。,2
临危不惧,lín wēi bù jù,《邓析子·无厚》死生自命，贫富贱者，不知时也，故临难不惧。,遇到危难时毫不畏惧。,2
龙飞凤舞,lóng fēi fèng wǔ,汉·张衡《东京赋》我世祖龙飞白水，凤翔参墟。宋·苏轼《表忠观碑》天目之山，苕水出焉，龙飞凤舞，萃于临安。,形容书法笔势有力、灵活舒展。,2
龙马精神,lóng mǎ jīng shén,唐·李郢《上裴晋公》诗四朝忧国鬓如丝，龙马精神鹤姿。,比喻精神健旺、充沛。,2
龙潭虎穴,lóng tán hǔ xué,元·无名氏《昊天塔》第三折不甫能撞开了天关地户，跳出这龙潭虎窟。,比喻危险的地方。,2
龙腾虎跃,lóng téng hǔ yuè,唐·严从《拟三国名臣赞序》圣人受命，贤人受任，龙腾虎跃，风流云蒸，求之精微，其道莫不咸系乎天者也。,形容威武雄壮、生气勃勃的景象。,2
龙骧虎步,lóng xiāng hǔ bù,三国·魏·嵇康《卜疑》将如毛公蔺生之龙骧虎步，慕为壮士乎？《三国志·魏书·陈琳传》今将军总皇威，握兵要，龙骧虎步，高下在心。,形容昂首阔步、威武雄壮的样子。,2
龙跃凤鸣,lóng yuè fèng míng,南朝·宋·刘义庆《世说新语·赏誉》君兄弟龙跃云津，顾彦先凤鸣朝阳，谓东南之宝已尽，不意复见褚生。,比喻才华出众。,2
龙争虎斗,lóng zhēng hǔ dòu,汉·班固《答宾戏》分裂诸夏，龙战虎争。,比喻双方势均力敌，斗争激烈。,2
绿草如茵,lǜ cǎo rú yīn,无,绿草像铺成的垫子一样。形容草茂盛而柔软。,2
落落大方,luò luò dà fāng,郭沫若《蔡文姬》第四幕对于我们也是非常宽大的。还有他的夫人也落落大方。,形容言谈举止自然、不拘谨。,2
满园春色,mǎn yuán chūn sè,宋·叶绍翁《游小园不值》诗春色满园关不住，一枝红杏出墙来。,满园都是春天的景色。形容欣欣向荣的景象。,2
盲人摸象,máng rén mō xiàng,《大般涅槃经》三二其触牙者即言象形如芦菔根，其触耳者言象如箕，其触头者言象如石，其触鼻者言象如杵，其触脚者言象如木臼，其触脊者言象如床，其触腹者言象如畒，其触尾者言象如绳。,比喻对事物只片面了解就妄下结论。,2
眉飞色舞,méi fēi sè wǔ,清·李宝嘉《官场现形记》第三十二回余荩臣一听'明保'二字，正是他心上最为关切之事，不禁眉飞色舞。,形容高兴得意的样子。,2
眉开眼笑,méi kāi yǎn xiào,元·王实甫《西厢记》第二本第二折彼见昨日惊魂魂魄，今日眉花眼笑。,形容高兴愉快的样子。,2
美不胜收,měi bù shèng shōu,清·钱泳《履园丛话·艺能·治庖》惟鱼之一物，美不胜收。,美好的东西太多，一时看不过来。,2
门庭若市,mén tíng ruò shì,《战国策·齐策一》群臣进谏，门庭若市。,门前和院子里像集市一样。形容来的人很多。,2
面面俱到,miàn miàn jù dào,清·李宝嘉《官场现形记》第五十七回这位单道台办事一向是面面俱到，不肯落一点褒贬的。,各方面都照顾到。,2
面面相觑,miàn miàn xiāng qù,明·张岱《海志》舟起如簸，人皆瞑眩，蒙被僵卧，懊丧此来，面面相觑而已。,你看我，我看你。形容惊讶或无可奈何的样子。,2
妙语连珠,miào yǔ lián zhū,无,巧妙精彩的话一句接一句。,2
目不转睛,mù bù zhuǎn jīng,明·冯梦龙《警世通言》卷十一老婆婆看着小官人，目不转睛，不觉两泪交流。,形容注意力集中，看得出神。,2
目瞪口呆,mù dèng kǒu dāi,元·无名氏《赚蒯通》第一折吓得项王目瞪口呆，动弹不得。,形容受惊或惊讶而发愣的样子。,2
能说会道,néng shuō huì dào,清·曹雪芹《红楼梦》第七十四回仗着他的模样儿比别人标致些，又长了一张巧嘴，天天打扮的象个西施样子，在人跟前能说惯道，抓尖要强。,形容善于言谈，口才好。,2
念念不忘,niàn niàn bù wàng,《朱子全书·论语》言其于忠信笃敬，念念不忘。,时刻记在心里，不能忘怀。,2
鸟语花香,niǎo yǔ huā xiāng,宋·吕本中《紫薇·庵居》鸟语花香变夕阴，稍闲复恐病相寻。,鸟鸣叫，花飘香。形容春天的美好景象。,2
滂沱大雨,páng tuó dà yǔ,《诗·小雅·渐渐之石》月离于毕，俾滂沱矣。,雨下得很大。,2
鹏程万里,péng chéng wàn lǐ,《庄子·逍遥游》鹏之徙于南冥也，水击三千里，抟扶摇而上者九万里。,比喻前程远大。,2
平易近人,píng yì jìn rén,《史记·鲁周公世家》平易近民，民必归之。,态度和蔼，容易接近。,2
迫不及待,pò bù jí dài,清·李汝珍《镜花缘》第六回且系酒后游戏，该仙子何以迫不急待。,急得不能再等待。,2
铺天盖地,pū tiān gài dì,无,形容来势猛烈，到处都是。,2
气贯长虹,qì guàn cháng hóng,《礼记·聘义》气如白虹，天也。,形容气势极盛。,2
千变万化,qiān biàn wàn huà,《列子·周穆王》乘虚不坠，触实不硋，千变万化，不可穷极。《史记·贾谊列传》千变万化兮，未始有极。,形容变化极多。,2
千差万别,qiān chā wàn bié,宋·释道原《景德传灯录》卷二十五僧问'如何是无异底事？'师曰'千差万别。',形容差异极大。,2
千军万马,qiān jūn wàn mǎ,《南史·陈庆之传》名军大将莫自牢，千兵万马避白袍。,形容兵马很多。,2
千钧一发,qiān jūn yī fà,《汉书·枚乘传》夫以一缕之任，系千钧之重，上悬无极之高，下垂不测之渊，虽甚愚之人，犹知哀其将绝也。唐·韩愈《与孟尚书书》其危如一发引千钧。,比喻极其危险。,2
千辛万苦,qiān xīn wàn kǔ,元·张之翰《元日》千辛万苦都尝遍，只有吴淞水最甘。,形容极多、极大的辛苦。,2
巧夺天工,qiǎo duó tiān gōng,元·赵孟頫《赠放烟火者》诗人间巧艺夺天工，炼药燃灯清昼同。。,精巧的人工胜过天然。形容技艺高超。,2
巧舌如簧,qiǎo shé rú huáng,《诗经·小雅·巧言》巧言如簧，颜之厚矣。,形容言辞巧妙动听。,2
窃窃私语,qiè qiè sī yǔ,唐·韩愈《顺宗实录·永贞五年》虽叛两使事，未尝以簿书为意，日引其党屏人切切细语，谋夺官者兵，以制四海之命。,私下里小声交谈。,2
锲而不舍,qiè ér bù shě,《荀子·劝学》锲而舍之，朽木不折；锲而不舍，金石可镂。,比喻有恒心、有毅力。,2
蜻蜓点水,qīng tíng diǎn shuǐ,唐·杜甫《曲江》诗穿花蛱蝶深深见，点水蜻蜓款款飞。,比喻做事肤浅、不深入。,2
秋高气爽,qiū gāo qì shuǎng,唐·杜甫《崔氏东山草堂》诗爱汝玉山草堂静，高秋爽气相鲜新。,形容秋季天气晴朗凉爽。,2
燃眉之急,rán méi zhī jí,宋·释普济《五灯会元》卷十六问'如何是急切一句？'师曰'火烧眉毛。'《文献通考·市籴二》元祐初，温公入相，诸贤并进用，革新法之病民者，如救眉燃，青苗、助役其尤也。,比喻非常紧迫的情况。,2
热火朝天,rè huǒ cháo tiān,冯德英《迎春花》第九章但这几天热火朝天的参军运动，也冲击着他们的身心。,形容群众运动蓬勃开展或情绪高涨。,2
人才济济,rén cái jǐ jǐ,《书·大禹漠》济济有众，咸听朕命。,形容有才能的人很多。,2
人仰马翻,rén yǎng mǎ fān,清·曹雪芹《红楼梦》第一百十五回贾琏家下无人，请了王仁来在外帮着料理。那巧姐儿是日夜哭母，也是病了。所以荣府中又闹得马仰人翻。,形容混乱或激战时的混乱状况。,2
忍无可忍,rěn wú kě rěn,清·无名氏《官场维新记》第十四回果然那些学生忍无可忍，闹出全班散学的事来了。,忍受到了极点，无法再忍受。,2
日积月累,rì jī yuè lěi,宋·朱熹《答周南仲书》随时体究，随时讨论，但使一日之间整顿得三五次，理会得三五事，则日积月累，自然纯熟，自然光明矣。,形容不断积累。,2
日日夜夜,rì rì yè yè,洪深《青龙潭》第二幕这里，刘秀三日日夜夜的车水，车的晕倒在水车上。,每天每夜。形容持续不断。,2
容光焕发,róng guāng huàn fā,方纪《歌声和笛音》我望着他那年青的，容光焕发，毫无倦色的脸，不知怎么，竟想伸手去抚摸他的孩子般的蓬松的头发。,形容精神饱满、光彩照人。,2
如火如荼,rú huǒ rú tú,《国语·吴语》万人以为方阵，皆白裳，白旗，素甲，白羽之缯，望之如荼。……左军亦如之，皆赤裳，赤，丹甲，朱羽之缯，望之如火。,形容旺盛、热烈。,2
如狼似虎,rú láng sì hǔ,《尉缭子·武议》一人之兵，如狼似虎，如风如雨，如雷如霆，震震冥冥，天下皆惊。,形容勇猛威武。,2
如履平地,rú lǚ píng dì,唐·裴铏《周邯》因夷人卖奴，年十四五，视其貌甚慧黠。言善入水，如履平地。,像走在平地上一样。形容行路或做事容易。,2
如鱼得水,rú yú dé shuǐ,《三国志·蜀书·诸葛亮传》孤之有孔明，犹鱼之有水也。,比喻得到与自己志同道合的人或合适的环境。,2
锐不可当,ruì bù kě dāng,《后汉书·吴汉传》其锋不可当。,形容气势锐利，不可阻挡。,2
杀鸡吓猴,shā jī xià hóu,姚雪垠《李自成》第二卷第二十一章猜到皇上有杀鸡吓猴之意，心中七上八下，半天没有做声。,比喻用惩罚一个人的办法来警告其他人。,2
山明水秀,shān míng shuǐ xiù,宋·黄庭坚《蓦山溪·赠衡阳陈湘》眉黛敛秋波，尽湖南，山明水秀。,形容山光明媚，水色秀丽。,2
深思熟虑,shēn sī shú lǜ,《楚辞·渔父》何故深思高举，自令放为？《史记·穰侯列传》愿君熟虑之。,深入思考，反复考虑。,2
神采奕奕,shén cǎi yì yì,明·沈德符《万历野获编·玩具·晋唐小楷真迹》韩宗伯所藏曹娥碑，为右军真迹。绢素稍暗，字亦惨淡。细视良久，则笔意透出绢外，神采奕然。,形容精神饱满、容光焕发。,2
神乎其神,shén hū qí shén,《庄子·天地》深之又深而能物焉，神之又神而能精焉。,神秘奇妙到了极点。,2
